Ukazatel;Roky;ČR, Reg. soudržnosti, Kraje;Rezidence;Hodnota
Počet hostů;2024;Česko;Celkem;22809595
Počet hostů;2024;Česko;Rezidenti;12332067
Počet hostů;2024;Česko;Nerezidenti;10477528
Počet přenocování;2024;Česko;Celkem;57236084
Počet přenocování;2024;Česko;Rezidenti;31761973
Počet přenocování;2024;Česko;Nerezidenti;25474111
Počet hostů;2024;Hlavní město Praha;Celkem;8063367
Počet hostů;2024;Hlavní město Praha;Rezidenti;1561069
Počet hostů;2024;Hlavní město Praha;Nerezidenti;6502298
Počet přenocování;2024;Hlavní město Praha;Celkem;18279256
Počet přenocování;2024;Hlavní město Praha;Rezidenti;2614466
Počet přenocování;2024;Hlavní město Praha;Nerezidenti;15664790
Počet hostů;2024;Středočeský kraj;Celkem;1363907
Počet hostů;2024;Středočeský kraj;Rezidenti;1071447
Počet hostů;2024;Středočeský kraj;Nerezidenti;292460
Počet přenocování;2024;Středočeský kraj;Celkem;3101209
Počet přenocování;2024;Středočeský kraj;Rezidenti;2445528
Počet přenocování;2024;Středočeský kraj;Nerezidenti;655681
Počet hostů;2024;Jihočeský kraj;Celkem;1749686
Počet hostů;2024;Jihočeský kraj;Rezidenti;1234825
Počet hostů;2024;Jihočeský kraj;Nerezidenti;514861
Počet přenocování;2024;Jihočeský kraj;Celkem;4607854
Počet přenocování;2024;Jihočeský kraj;Rezidenti;3588869
Počet přenocování;2024;Jihočeský kraj;Nerezidenti;1018985
Počet hostů;2024;Plzeňský kraj;Celkem;900439
Počet hostů;2024;Plzeňský kraj;Rezidenti;587930
Počet hostů;2024;Plzeňský kraj;Nerezidenti;312509
Počet přenocování;2024;Plzeňský kraj;Celkem;2152789
Počet přenocování;2024;Plzeňský kraj;Rezidenti;1493451
Počet přenocování;2024;Plzeňský kraj;Nerezidenti;659338
Počet hostů;2024;Karlovarský kraj;Celkem;1390673
Počet hostů;2024;Karlovarský kraj;Rezidenti;635376
Počet hostů;2024;Karlovarský kraj;Nerezidenti;755297
Počet přenocování;2024;Karlovarský kraj;Celkem;5202098
Počet přenocování;2024;Karlovarský kraj;Rezidenti;2327595
Počet přenocování;2024;Karlovarský kraj;Nerezidenti;2874503
Počet hostů;2024;Ústecký kraj;Celkem;632829
Počet hostů;2024;Ústecký kraj;Rezidenti;422880
Počet hostů;2024;Ústecký kraj;Nerezidenti;209949
Počet přenocování;2024;Ústecký kraj;Celkem;1607895
Počet přenocování;2024;Ústecký kraj;Rezidenti;1107532
Počet přenocování;2024;Ústecký kraj;Nerezidenti;500363
Počet hostů;2024;Liberecký kraj;Celkem;1173053
Počet hostů;2024;Liberecký kraj;Rezidenti;966444
Počet hostů;2024;Liberecký kraj;Nerezidenti;206609
Počet přenocování;2024;Liberecký kraj;Celkem;3318481
Počet přenocování;2024;Liberecký kraj;Rezidenti;2762771
Počet přenocování;2024;Liberecký kraj;Nerezidenti;555710
Počet hostů;2024;Královéhradecký kraj;Celkem;1541616
Počet hostů;2024;Královéhradecký kraj;Rezidenti;1216514
Počet hostů;2024;Královéhradecký kraj;Nerezidenti;325102
Počet přenocování;2024;Královéhradecký kraj;Celkem;4608448
Počet přenocování;2024;Královéhradecký kraj;Rezidenti;3651346
Počet přenocování;2024;Královéhradecký kraj;Nerezidenti;957102
Počet hostů;2024;Pardubický kraj;Celkem;528133
Počet hostů;2024;Pardubický kraj;Rezidenti;459757
Počet hostů;2024;Pardubický kraj;Nerezidenti;68376
Počet přenocování;2024;Pardubický kraj;Celkem;1359128
Počet přenocování;2024;Pardubický kraj;Rezidenti;1206961
Počet přenocování;2024;Pardubický kraj;Nerezidenti;152167
Počet hostů;2024;Kraj Vysočina;Celkem;688447
Počet hostů;2024;Kraj Vysočina;Rezidenti;599785
Počet hostů;2024;Kraj Vysočina;Nerezidenti;88662
Počet přenocování;2024;Kraj Vysočina;Celkem;1599492
Počet přenocování;2024;Kraj Vysočina;Rezidenti;1400226
Počet přenocování;2024;Kraj Vysočina;Nerezidenti;199266
Počet hostů;2024;Jihomoravský kraj;Celkem;2179291
Počet hostů;2024;Jihomoravský kraj;Rezidenti;1443562
Počet hostů;2024;Jihomoravský kraj;Nerezidenti;735729
Počet přenocování;2024;Jihomoravský kraj;Celkem;4219994
Počet přenocování;2024;Jihomoravský kraj;Rezidenti;3012324
Počet přenocování;2024;Jihomoravský kraj;Nerezidenti;1207670
Počet hostů;2024;Olomoucký kraj;Celkem;753338
Počet hostů;2024;Olomoucký kraj;Rezidenti;616169
Počet hostů;2024;Olomoucký kraj;Nerezidenti;137169
Počet přenocování;2024;Olomoucký kraj;Celkem;2203846
Počet přenocování;2024;Olomoucký kraj;Rezidenti;1888711
Počet přenocování;2024;Olomoucký kraj;Nerezidenti;315135
Počet hostů;2024;Zlínský kraj;Celkem;819930
Počet hostů;2024;Zlínský kraj;Rezidenti;703925
Počet hostů;2024;Zlínský kraj;Nerezidenti;116005
Počet přenocování;2024;Zlínský kraj;Celkem;2226220
Počet přenocování;2024;Zlínský kraj;Rezidenti;1982819
Počet přenocování;2024;Zlínský kraj;Nerezidenti;243401
Počet hostů;2024;Moravskoslezský kraj;Celkem;1024886
Počet hostů;2024;Moravskoslezský kraj;Rezidenti;812384
Počet hostů;2024;Moravskoslezský kraj;Nerezidenti;212502
Počet přenocování;2024;Moravskoslezský kraj;Celkem;2749374
Počet přenocování;2024;Moravskoslezský kraj;Rezidenti;2279374
Počet přenocování;2024;Moravskoslezský kraj;Nerezidenti;470000
